y0	mumax	r2	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	plate_name	streptomycin
0.020313973950212654	0.19483867603769103	0.99987630714083	H1977	evo	A1977_E1977	a	coculture	B11B12	R2A	plate03	4
0.04270319674388644	0.3209771923647772	0.9998207879524763	H1287	anc	A1287_E1287	b	coculture	C01C02	R2A	plate03	4
0.04627588084122074	0.18980697124314522	0.9998799542559842	H1287	evo	A1287_E1287	b	coculture	C01C02	R2A	plate03	4
0.047550340334683285	0.31184117900262964	0.999743525650199	H1287	anc	A1287_A1977	b	coculture	C03C04	R2A	plate03	4
0.01355973952535147	0.3011592493226159	0.9997007365872322	H1977	anc	A1287_A1977	b	coculture	C03C04	R2A	plate03	4
0.05069471312595748	0.29956196170364224	0.9997456248776632	H1287	anc	A1287_E1977	b	coculture	C05C06	R2A	plate03	4
0.008192685465595635	0.2684432486588393	0.9999134055817163	H1977	evo	A1287_E1977	b	coculture	C05C06	R2A	plate03	4
0.032082236225536846	0.2487349283381592	0.9997766883329855	H1287	evo	E1287_A1977	b	coculture	C07C08	R2A	plate03	4
0.016898270994819484	0.27719267695227257	0.9999465132398969	H1977	anc	E1287_A1977	b	coculture	C07C08	R2A	plate03	4
0.02730172535456125	0.2756481089695012	0.9997716517628102	H1287	evo	E1287_E1977	b	coculture	C09C10	R2A	plate03	4
0.009275393558686828	0.2610458073803483	0.9999296832393266	H1977	evo	E1287_E1977	b	coculture	C09C10	R2A	plate03	4
0.013467512004152108	0.30562129180286146	0.9999028889601158	H1977	anc	A1977_E1977	b	coculture	C11C12	R2A	plate03	4
0.014621517436458242	0.22240824117188412	0.999852331158588	H1977	evo	A1977_E1977	b	coculture	C11C12	R2A	plate03	4
0.0472772541104719	0.31405619791477757	0.9998475206523116	H1287	anc	A1287_E1287	c	coculture	D01D02	R2A	plate03	4
0.0442575425065729	0.20184451715700877	0.9997995741013356	H1287	evo	A1287_E1287	c	coculture	D01D02	R2A	plate03	4
0.046807306813696624	0.3148767565837487	0.9997941759544685	H1287	anc	A1287_A1977	c	coculture	D03D04	R2A	plate03	4
0.015861251030632902	0.26814835445248886	0.9999468336312746	H1977	anc	A1287_A1977	c	coculture	D03D04	R2A	plate03	4
0.04809608418408271	0.3044279487753991	0.9998138232366862	H1287	anc	A1287_E1977	c	coculture	D05D06	R2A	plate03	4
0.006599331281361552	0.2827459521565242	0.9998420939459851	H1977	evo	A1287_E1977	c	coculture	D05D06	R2A	plate03	4
0.03083159945470285	0.25319978594201553	0.9998105757338226	H1287	evo	E1287_A1977	c	coculture	D07D08	R2A	plate03	4
0.02049615244686083	0.25772982035093994	0.9999787390574951	H1977	anc	E1287_A1977	c	coculture	D07D08	R2A	plate03	4
0.030296365635235727	0.2704685753460206	0.9998079139788768	H1287	evo	E1287_E1977	c	coculture	D09D10	R2A	plate03	4
0.017102604821673285	0.21120353855233498	0.9998718992404262	H1977	evo	E1287_E1977	c	coculture	D09D10	R2A	plate03	4
0.015504760750960836	0.2882734808552911	0.9999585187421325	H1977	anc	A1977_E1977	c	coculture	D11D12	R2A	plate03	4
0.01762202378617466	0.1981310376011957	0.9998236081294227	H1977	evo	A1977_E1977	c	coculture	D11D12	R2A	plate03	4
0.05187464300248987	0.2990804569653475	0.9998267085497194	H1287	anc	A1287_E1287	d	coculture	E01E02	R2A	plate03	4
0.045466808789803595	0.19770803921479557	0.9997998302963181	H1287	evo	A1287_E1287	d	coculture	E01E02	R2A	plate03	4
0.04873445221183741	0.3035803232044194	0.9998361851738118	H1287	anc	A1287_A1977	d	coculture	E03E04	R2A	plate03	4
0.016144220382747734	0.2768984115775855	0.9999303240084366	H1977	anc	A1287_A1977	d	coculture	E03E04	R2A	plate03	4
0.048063831254364274	0.30892552241209326	0.9997813114675209	H1287	anc	A1287_E1977	d	coculture	E05E06	R2A	plate03	4
0.009570323751930085	0.25950387769081723	0.9999171648095145	H1977	evo	A1287_E1977	d	coculture	E05E06	R2A	plate03	4
0.02936259914807322	0.25959072718866216	0.9997923237346413	H1287	evo	E1287_A1977	d	coculture	E07E08	R2A	plate03	4
0.01910362035367053	0.26317577044831725	0.9999762341506836	H1977	anc	E1287_A1977	d	coculture	E07E08	R2A	plate03	4
0.03042473596680459	0.26257619509070446	0.9998254182450789	H1287	evo	E1287_E1977	d	coculture	E09E10	R2A	plate03	4
0.009832815332745243	0.2544065939968311	0.9999516949738964	H1977	evo	E1287_E1977	d	coculture	E09E10	R2A	plate03	4
0.020683037556945918	0.2487616262553474	0.9999793359468407	H1977	anc	A1977_E1977	d	coculture	E11E12	R2A	plate03	4
0.012143099440587057	0.2378372896840821	0.9998990874598229	H1977	evo	A1977_E1977	d	coculture	E11E12	R2A	plate03	4
0.050871907219798125	0.29903618534938164	0.9998086395912075	H1287	anc	A1287_E1287	e	coculture	F01F02	R2A	plate03	4
0.0449651893643342	0.20024345417961945	0.9997663666793419	H1287	evo	A1287_E1287	e	coculture	F01F02	R2A	plate03	4
0.05125882109174883	0.29660058987406157	0.9998324569206242	H1287	anc	A1287_A1977	e	coculture	F03F04	R2A	plate03	4
0.013011506294595432	0.2999673903747512	0.9999081116424546	H1977	anc	A1287_A1977	e	coculture	F03F04	R2A	plate03	4
0.051322490668416876	0.2999087064371583	0.9998012287411939	H1287	anc	A1287_E1977	e	coculture	F05F06	R2A	plate03	4
0.015150013937611267	0.21421700937961158	0.9999141839968179	H1977	evo	A1287_E1977	e	coculture	F05F06	R2A	plate03	4
0.028905438268636115	0.263095365313248	0.9997828463849107	H1287	evo	E1287_A1977	e	coculture	F07F08	R2A	plate03	4
0.020602437445936463	0.25149651011765	0.9999837725379426	H1977	anc	E1287_A1977	e	coculture	F07F08	R2A	plate03	4
0.027128252331007123	0.2770355294782984	0.9997685175470795	H1287	evo	E1287_E1977	e	coculture	F09F10	R2A	plate03	4
0.021064755222047073	0.1998376290777245	0.99991441415956	H1977	evo	E1287_E1977	e	coculture	F09F10	R2A	plate03	4
0.021466013644848143	0.2456434918294926	0.9999733034860493	H1977	anc	A1977_E1977	e	coculture	F11F12	R2A	plate03	4
0.017105340933541754	0.20518802814352538	0.9998616371392539	H1977	evo	A1977_E1977	e	coculture	F11F12	R2A	plate03	4
0.045919338691972865	0.3149589802160596	0.999771684483392	H1287	anc	A1287_E1287	f	coculture	G01G02	R2A	plate03	4
0.04433388201971653	0.19895481252885377	0.9997341145029772	H1287	evo	A1287_E1287	f	coculture	G01G02	R2A	plate03	4
0.051807595432463396	0.30043527223057315	0.9997365485966273	H1287	anc	A1287_A1977	f	coculture	G03G04	R2A	plate03	4
0.020262510041839626	0.25762135996544033	0.9999517723807718	H1977	anc	A1287_A1977	f	coculture	G03G04	R2A	plate03	4
0.05715362849222283	0.28071968317549373	0.9997668166497313	H1287	anc	A1287_E1977	f	coculture	G05G06	R2A	plate03	4
0.01945648080567775	0.19853741709354739	0.9999135970806263	H1977	evo	A1287_E1977	f	coculture	G05G06	R2A	plate03	4
0.02909649216297772	0.260155905779715	0.999769570885516	H1287	evo	E1287_A1977	f	coculture	G07G08	R2A	plate03	4
0.0175932124686498	0.2757380794392771	0.9999567199213987	H1977	anc	E1287_A1977	f	coculture	G07G08	R2A	plate03	4
0.026703325780824086	0.27920745392168345	0.9995216838893406	H1287	evo	E1287_E1977	f	coculture	G09G10	R2A	plate03	4
0.016306777499135016	0.24342254454604875	0.9999620154378981	H1977	evo	E1287_E1977	f	coculture	G09G10	R2A	plate03	4
0.01935199697604206	0.2590242493253857	0.9999580832533019	H1977	anc	A1977_E1977	f	coculture	G11G12	R2A	plate03	4
0.017935231596804983	0.20091487100598493	0.9999018146219348	H1977	evo	A1977_E1977	f	coculture	G11G12	R2A	plate03	4
